trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2023-07-06,2023-07-05,buy,XTN.US,83.19000244,0.003931522701,0.3270633831,entry,1,1,,,,
2023-07-10,2023-07-07,sell,XHB.US,77.97000122,0.004233422454,0.3300799539,hysteresis,29,27,0.03876903486,32,-0.01092458995,0.07540639284
2023-07-10,2023-07-07,buy,DTCR.US,13.43000031,0.02457780688,0.3300799539,entry,1,4,,,,
2023-07-11,2023-07-10,sell,DTCR.US,13.60000038,0.02457780688,0.3342581829,weak,34,34,0.01265823324,1,-0.004467640972,0.01116899591
2023-07-11,2023-07-10,buy,XES.US,84.83999634,0.003939865598,0.3342581829,entry,1,2,,,,
2023-07-17,2023-07-14,sell,XTN.US,83.91000366,0.003931522701,0.3298940842,weak,36,34,0.008654900824,11,-0.01935329442,0.04760186282
2023-07-17,2023-07-14,buy,XHB.US,83.18000031,0.003966026485,0.3298940842,entry,1,1,,,,
2023-07-18,2023-07-17,sell,PAVE.US,31.86000061,0.01161572515,0.3700770104,hysteresis,21,22,0.07926829662,39,-0.00985773583,0.08689019603
2023-07-18,2023-07-17,buy,KCE.US,89.95999908,0.004113795178,0.3700770104,entry,1,1,,,,
2023-08-02,2023-08-01,sell,KCE.US,90.20999908,0.004113795178,0.3711054592,hysteresis,34,32,0.002779012923,15,-0.0007781202261,0.0341262753
2023-08-02,2023-08-01,buy,KRE.US,47.41999817,0.00782592732,0.3711054592,entry,1,1,,,,
2023-08-16,2023-08-15,sell,KRE.US,45.11000061,0.00782592732,0.3530275862,hysteresis,36,33,-0.04871357334,14,-0.0480809546,0.03521725112
2023-08-16,2023-08-15,buy,XOP.US,145.1300049,0.002432492071,0.3530275862,entry,1,1,,,,
2023-08-21,2023-08-18,sell,XHB.US,79.66000366,0.003966026485,0.3159336843,hysteresis,28,26,-0.04231782436,35,-0.05458043879,0.02344309859
2023-08-21,2023-08-18,buy,XME.US,51.20000076,0.00617057968,0.3159336843,entry,2,3,,,,
2023-08-25,2023-08-24,sell,XES.US,90.98000336,0.003939865598,0.3584489853,hysteresis,22,24,0.07237160872,45,-0.003653908203,0.1360207616
2023-08-25,2023-08-24,buy,URA.US,23.28000069,0.01539729273,0.3584489853,entry,1,1,,,,
2023-08-28,2023-08-25,sell,XME.US,50.52000046,0.00617057968,0.3117376883,hysteresis,33,21,-0.01328125576,7,-0.03125004424,0.007031261816
2023-08-28,2023-08-25,buy,CIBR.US,45.65999985,0.006827369455,0.3117376883,entry,2,2,,,,
2023-08-30,2023-08-29,sell,XOP.US,148,0.002432492071,0.3600088266,hysteresis,31,25,0.01977533949,14,-0.01350517914,0.03286700788
2023-08-30,2023-08-29,buy,KCE.US,90.12999725,0.003994328609,0.3600088266,entry,1,1,,,,
2023-09-06,2023-09-05,sell,KCE.US,89.33000183,0.003994328609,0.356813382,hysteresis,26,21,-0.008876017383,7,-0.0105402971,0.008543263019
2023-09-06,2023-09-05,buy,XES.US,96.48999786,0.003697931287,0.356813382,entry,2,2,,,,
2023-09-19,2023-09-18,sell,CIBR.US,46.24000168,0.006827369455,0.315697575,hysteresis,27,22,0.01270262446,22,-0.003723131176,0.0422689512
2023-09-19,2023-09-18,buy,SIL.US,26.28000069,0.01201284501,0.315697575,entry,2,5,,,,
2023-09-26,2023-09-25,sell,SIL.US,24.52000046,0.01201284501,0.2945549651,weak,35,34,-0.06697108763,7,-0.06468800299,0.0003805262032
2023-09-26,2023-09-25,buy,KIE.US,43.36999893,0.006791675636,0.2945549651,entry,1,2,,,,
2023-10-03,2023-10-02,sell,XES.US,92.01999664,0.003697931287,0.3402836246,weak,34,32,-0.04632605783,27,-0.04767331927,0.04477147674
2023-10-03,2023-10-02,sell,KIE.US,41.99000168,0.006791675636,0.2851824714,hysteresis,26,21,-0.03181916734,7,-0.03527781455,0.004611500297
2023-10-03,2023-10-02,buy,CIBR.US,45.25999832,0.00690970083,0.312733048,entry,1,1,,,,
2023-10-03,2023-10-02,buy,SMH.US,145.2899933,0.002152474791,0.312733048,entry,2,2,,,,
